id,height,area,date,camera
cq0305.00-6,13,76,20160718,side1
cq0329.00-1,83,428,20160718,side1
cq0329.00-2,43,552,20160718,side1
cq0329.00-3,80,803,20160718,side1
cq0329.00-4,31,787,20160718,side1
cq0329.00-5,52,517,20160718,side1
cq0329.00-6,48,648,20160718,side1
cq0330.00-1,13,63,20160718,side1
cq0330.00-2,87,836,20160718,side1
cq0330.00-3,22,288,20160718,side1
cq0330.00-5,26,292,20160718,side1
cq0330.00-6,68,1729,20160718,side1
cq0331.00-4,12,38,20160718,side1
cq0333.00-1,85,496,20160718,side1
cq0333.00-2,22,470,20160718,side1
cq0333.00-3,18,317,20160718,side1
cq0333.00-4,16,272,20160718,side1
cq0333.00-5,70,621,20160718,side1
cq0333.00-6,33,430,20160718,side1
cq0334.00-1,67,1302,20160718,side1
cq0334.00-2,72,645,20160718,side1
cq0334.00-3,91,707,20160718,side1
cq0334.00-4,54,1444,20160718,side1
cq0334.00-5,61,451,20160718,side1
cq0334.00-6,49,345,20160718,side1
cq0335.00-1,34,324,20160718,side1
cq0335.00-2,46,1479,20160718,side1
cq0335.00-3,53,341,20160718,side1
cq0335.00-4,39,404,20160718,side1
cq0335.00-5,24,323,20160718,side1
cq0335.00-6,55,645,20160718,side1
cq0336.00-2,24,337,20160718,side1
cq0336.00-5,48,566,20160718,side1
cq0336.00-6,43,622,20160718,side1
cq0388.00-1,88,779,20160718,side1
cq0388.00-2,52,719,20160718,side1
cq0388.00-3,34,847,20160718,side1
cq0388.00-4,96,954,20160718,side1
cq0388.00-5,42,1003,20160718,side1
cq0388.00-6,35,639,20160718,side1
cq0002.00-1,NA,NA,20160720,side1
cq0002.00-2,NA,NA,20160720,side1
cq0002.00-3,NA,NA,20160720,side1
cq0002.00-4,NA,NA,20160720,side1
cq0002.00-5,NA,NA,20160720,side1
cq0002.00-6,NA,NA,20160720,side1
cq0031.00-1,NA,NA,20160720,side1
cq0031.00-4,NA,NA,20160720,side1
cq0031.00-6,NA,NA,20160720,side1
cq0049.00-3,NA,NA,20160720,side1
cq0049.00-6,NA,NA,20160720,side1
cq0055.00-2,NA,NA,20160720,side1
cq0055.00-3,NA,NA,20160720,side1
cq0055.00-4,NA,NA,20160720,side1
cq0056.00-1,NA,NA,20160720,side1
cq0056.00-2,NA,NA,20160720,side1
cq0056.00-3,NA,NA,20160720,side1
cq0056.00-4,NA,NA,20160720,side1
cq0056.00-5,83,952,20160720,side1
cq0056.00-6,70,399,20160720,side1
cq0058.00-1,59,769,20160720,side1
cq0058.00-2,48,1046,20160720,side1
cq0058.00-3,NA,NA,20160720,side1
cq0058.00-4,NA,NA,20160720,side1
cq0058.00-5,NA,NA,20160720,side1
cq0058.00-6,NA,NA,20160720,side1
cq0065.00-1,69,1476,20160720,side1
cq0065.00-2,47,630,20160720,side1
cq0065.00-3,43,877,20160720,side1
cq0065.00-4,55,948,20160720,side1
cq0065.00-5,57,980,20160720,side1
cq0065.00-6,58,1220,20160720,side1
cq0074.00-1,61,1515,20160720,side1
cq0074.00-2,56,1145,20160720,side1
cq0074.00-3,47,1202,20160720,side1
cq0074.00-4,51,1093,20160720,side1
cq0074.00-5,51,1233,20160720,side1
cq0074.00-6,86,1389,20160720,side1
cq0076.00-1,52,854,20160720,side1
cq0076.00-2,59,784,20160720,side1
