Genotype,ID,FWbiomass,DWbiomass,SeedNum_EstAll,SeedWT_All_g,SeedNum_Subset,SeedWT_Subset_g,MeanSeedNormArea
PI643079,cq0129.00-1,4.75218977,0.586119638,191.5422886,0.55,21,0.0603,0.041677227
PI665283,cq0137.00-1,13.90478051,1.023472596,10365.87302,28.24,37,0.1008,0.044575266
PI665283,cq0137.00-2,28.47414043,2.042125471,6936.671576,18.84,25,0.0679,0.03485097
PI665283,cq0137.00-3,23.99029913,1.921431272,7915.696888,18.87,31,0.0739,0.035325178
PI665283,cq0137.00-4,24.44543643,1.707640977,9902.255639,21.95,36,0.0798,0.038556496
PI665283,cq0137.00-5,18.44151914,1.413136566,11075.5716,27.07,34,0.0831,0.034675337
PI665283,cq0137.00-6,27.06766444,2.25349285,10390.44369,25.37,36,0.0879,0.038788025
REAL,cq0335.00-1,0.316548563,0.283848559,1200.917431,3.74,21,0.0654,0.040956252
REAL,cq0335.00-2,4.643773562,0.518063551,1581.208054,5.89,20,0.0745,0.048596994
REAL,cq0335.00-3,18.26128983,1.203708355,1930.693069,6,26,0.0808,0.033692419
REAL,cq0335.00-5,16.66978004,1.067608235,3774.165202,8.59,25,0.0569,0.039412237
REAL,cq0335.00-6,14.06142957,1.124024274,1530.864198,4.96,25,0.081,0.037491386
