Genotype,ID,Area,NormalizedArea
AMES13720,cq0004.00,5696,0.041016778
AMES13720,cq0004.00,5798,0.041751278
AMES13720,cq0004.00,5855,0.042161734
AMES13721,cq0005.00,2674,0.019255419
AMES13721,cq0005.00,2801,0.020169943
AMES13721,cq0005.00,2879,0.02073162
AMES13721,cq0005.00,2935,0.021134874
AMES13721,cq0005.00,3001,0.021610139
AMES13721,cq0005.00,3073,0.022128609
AMES13721,cq0005.00,3091,0.022258227
AMES13721,cq0005.00,3145,0.02264708
AMES13721,cq0005.00,3158,0.022740693
AMES13721,cq0005.00,3191,0.022978325
AMES13721,cq0005.00,3219,0.023179952
AMES13721,cq0005.00,3263,0.023496796
AMES13721,cq0005.00,3274,0.023576006
AMES13721,cq0005.00,3295,0.023727227
AMES13721,cq0005.00,3337,0.024029668
AMES13721,cq0005.00,3349,0.02411608
AMES13721,cq0005.00,3377,0.024317707
AMES13721,cq0005.00,3379,0.024332109
AMES13721,cq0005.00,3409,0.024548139
AMES13721,cq0005.00,3518,0.025333045
AMES13721,cq0005.00,3540,0.025491467
AMES13721,cq0005.00,3547,0.025541874
AMES13721,cq0005.00,3576,0.025750702
AMES13721,cq0005.00,3595,0.025887521
AMES13721,cq0005.00,3616,0.026038741
AMES13721,cq0005.00,3634,0.026168359
AMES13721,cq0005.00,3640,0.026211565
AMES13721,cq0005.00,3653,0.026305178
AMES13721,cq0005.00,3668,0.026413192
AMES13721,cq0005.00,3670,0.026427594
AMES13721,cq0005.00,3672,0.026441996
AMES13721,cq0005.00,3686,0.02654281
AMES13721,cq0005.00,3697,0.026622021
AMES13721,cq0005.00,3703,0.026665226
AMES13721,cq0005.00,3716,0.026758839
AMES13721,cq0005.00,3732,0.026874055
AMES13721,cq0005.00,3751,0.027010873
AMES13721,cq0005.00,3753,0.027025275
AMES13721,cq0005.00,3784,0.027248506
AMES13721,cq0005.00,3832,0.027594153
AMES13721,cq0005.00,3835,0.027615756
AMES13721,cq0005.00,3882,0.027954202
AMES13721,cq0005.00,3886,0.027983006
AMES13721,cq0005.00,3892,0.028026212
AMES13721,cq0005.00,3917,0.028206236
AMES13721,cq0005.00,3963,0.028537481
AMES13721,cq0005.00,3991,0.028739109
AMES13721,cq0005.00,3994,0.028760711
AMES13721,cq0005.00,4011,0.028883128
AMES13721,cq0005.00,4023,0.02896954
AMES13721,cq0005.00,4024,0.028976741
AMES13721,cq0005.00,4025,0.028983942
AMES13721,cq0005.00,4045,0.029127961
AMES13721,cq0005.00,4055,0.029199971
AMES13721,cq0005.00,4088,0.029437604
AMES13721,cq0005.00,4102,0.029538417
AMES13721,cq0005.00,4147,0.029862461
AMES13721,cq0005.00,4167,0.030006481
AMES13721,cq0005.00,4171,0.030035285
AMES13721,cq0005.00,4182,0.030114496
AMES13721,cq0005.00,4303,0.030985814
AMES13721,cq0005.00,4324,0.031137035
AMES13721,cq0005.00,4329,0.03117304
AMES13721,cq0005.00,4343,0.031273853
AMES13721,cq0005.00,4356,0.031367466
AMES13721,cq0005.00,4380,0.031540289
AMES13721,cq0005.00,4450,0.032044358
AMES13721,cq0005.00,4471,0.032195579
AMES13721,cq0005.00,4560,0.032836466
AMES13721,cq0005.00,4568,0.032894074
AMES13721,cq0005.00,4604,0.033153309
AMES13721,cq0005.00,4610,0.033196515
AMES13721,cq0005.00,4657,0.033534961
AMES13721,cq0005.00,4667,0.033606971
AMES13721,cq0005.00,4700,0.033844603
AMES13721,cq0005.00,4705,0.033880608
AMES13721,cq0005.00,4708,0.033902211
AMES13721,cq0005.00,4714,0.033945417
AMES13721,cq0005.00,4734,0.034089436
AMES13721,cq0005.00,4750,0.034204652
AMES13721,cq0005.00,4759,0.034269461
AMES13721,cq0005.00,4767,0.034327068
AMES13721,cq0005.00,4803,0.034586304
AMES13721,cq0005.00,4803,0.034586304
AMES13721,cq0005.00,4808,0.034622309
AMES13721,cq0005.00,4808,0.034622309
AMES13721,cq0005.00,4832,0.034795132
AMES13721,cq0005.00,4834,0.034809534
AMES13721,cq0005.00,4863,0.035018362
AMES13721,cq0005.00,4869,0.035061568
AMES13721,cq0005.00,4870,0.035068769
AMES13721,cq0005.00,4889,0.035205588
AMES13721,cq0005.00,4909,0.035349608
AMES13721,cq0005.00,4912,0.03537121
AMES13721,cq0005.00,4919,0.035421617
AMES13721,cq0005.00,4919,0.035421617
AMES13721,cq0005.00,4921,0.035436019
AMES13721,cq0005.00,4923,0.035450421
